English	Hebrew	Example_EN	Example_HE	POS	Unit	Tags
embarrassed	נבוך	I felt embarrassed when I fell in front of everyone.	הרגשתי נבוך כשנפלתי מול כולם.	adjective	3	esl-pals unit-3
although	למרות ש	Although it was hard, I kept trying.	למרות שזה היה קשה, המשכתי לנסות.	conjunction	3	esl-pals unit-3
achieve	להשיג	She achieved her goal of learning English.	היא השיגה את המטרה שלה ללמוד אנגלית.	verb	3	esl-pals unit-3
proud	גאה	I'm proud of my progress.	אני גאה בהתקדמות שלי.	adjective	3	esl-pals unit-3
nervous	לחוץ	I get nervous before exams.	אני נהיה לחוץ לפני מבחנים.	adjective	3	esl-pals unit-3
confident	בטוח	He feels confident speaking English now.	הוא מרגיש בטוח לדבר אנגלית עכשיו.	adjective	3	esl-pals unit-3
disappointed	מאוכזב	She was disappointed with her grade.	היא הייתה מאוכזבת מהציון שלה.	adjective	3	esl-pals unit-3
grateful	אסיר תודה	I'm grateful for your help.	אני אסיר תודה על העזרה שלך.	adjective	3	esl-pals unit-3
anxious	חרד	I feel anxious about the interview.	אני מרגיש חרד לגבי הראיון.	adjective	3	esl-pals unit-3
curious	סקרן	Children are naturally curious.	ילדים הם באופן טבעי סקרנים.	adjective	3	esl-pals unit-3
jealous	מקנא	Don't be jealous of others' success.	אל תהיה מקנא בהצלחה של אחרים.	adjective	3	esl-pals unit-3
relieved	מרגיש הקלה	I was relieved when the exam was over.	הרגשתי הקלה כשהמבחן נגמר.	adjective	3	esl-pals unit-3
frustrated	מתוסכל	Learning a new language can be frustrating.	לימוד שפה חדשה יכול להיות מתסכל.	adjective	3	esl-pals unit-3
amazed	מופתע	I was amazed by the view.	הייתי מופתע מהנוף.	adjective	3	esl-pals unit-3
exhausted	מותש	After the marathon, I was exhausted.	אחרי המרתון, הייתי מותש.	adjective	3	esl-pals unit-3
thrilled	נרגשת	She was thrilled to get the job.	היא הייתה נרגשת לקבל את העבודה.	adjective	3	esl-pals unit-3
ashamed	מתבייש	He felt ashamed of lying.	הוא הרגיש מתבייש מהשקר.	adjective	3	esl-pals unit-3
overwhelmed	מוטרד	I felt overwhelmed by all the information.	הרגשתי מוטרד מכל המידע.	adjective	3	esl-pals unit-3
inspired	מלא השראה	The speech inspired everyone.	הנאום מילא את כולם בהשראה.	adjective	3	esl-pals unit-3
content	מרוצה	She felt content with her life.	היא הרגישה מרוצה מהחיים שלה.	adjective	3	esl-pals unit-3
